Número,Nome,Estrelas,Idade (anos),Número de releases,Url
129,itwanger/toBeBetterJavaer,7354,4.35,0,https://github.com/itwanger/toBeBetterJavaer
130,scribejava/scribejava,5338,12.52,9,https://github.com/scribejava/scribejava
131,aws/aws-sdk-java,3912,12.98,0,https://github.com/aws/aws-sdk-java
132,brianway/java-learning,4101,7.1,0,https://github.com/brianway/java-learning
133,jobbole/awesome-javascript-cn,7447,7.36,0,https://github.com/jobbole/awesome-javascript-cn
134,jboss-javassist/javassist,3783,9.81,21,https://github.com/jboss-javassist/javassist
135,javalin/javalin,6376,5.95,0,https://github.com/javalin/javalin
136,Blankj/awesome-java-leetcode,8515,5.91,0,https://github.com/Blankj/awesome-java-leetcode
137,mercyblitz/jsr,1979,5.65,0,https://github.com/mercyblitz/jsr
138,CL0610/Java-concurrency,4030,4.88,0,https://github.com/CL0610/Java-concurrency
139,javamelody/javamelody,2783,7.73,46,https://github.com/javamelody/javamelody
140,docker-java/docker-java,2505,8.78,46,https://github.com/docker-java/docker-java
141,querydsl/querydsl,4178,11.61,34,https://github.com/querydsl/querydsl
142,crisxuan/bestJavaer,5049,2.78,0,https://github.com/crisxuan/bestJavaer
143,braziljs/eloquente-javascript,4712,9.2,0,https://github.com/braziljs/eloquente-javascript
144,da2k/curso-javascript-ninja,2253,8.07,0,https://github.com/da2k/curso-javascript-ninja
145,javagrowing/JGrowing,4417,4.05,0,https://github.com/javagrowing/JGrowing
146,apache/pinot,4459,8.82,16,https://github.com/apache/pinot
147,gsjqwyl/JavaInterview,1208,3.02,0,https://github.com/gsjqwyl/JavaInterview
148,in28minutes/JavaInterviewQuestionsAndAnswers,743,7.12,0,https://github.com/in28minutes/JavaInterviewQuestionsAndAnswers
149,qiyuangong/leetcode,4716,7.0,0,https://github.com/qiyuangong/leetcode
150,kevinsawicki/http-request,3295,11.4,0,https://github.com/kevinsawicki/http-request
151,junit-team/junit4,8418,14.17,13,https://github.com/junit-team/junit4
152,bytedeco/javacpp,4064,8.9,9,https://github.com/bytedeco/javacpp
153,tronprotocol/java-tron,3289,5.22,71,https://github.com/tronprotocol/java-tron
154,Seazean/JavaNote,888,1.98,0,https://github.com/Seazean/JavaNote
155,hellokaton/learn-java8,1326,5.1,0,https://github.com/hellokaton/learn-java8
156,quanke/think-in-java,2080,6.86,0,https://github.com/quanke/think-in-java
157,Beerkay/JavaMultiThreading,592,8.75,0,https://github.com/Beerkay/JavaMultiThreading
158,zxing/zxing,30769,11.43,29,https://github.com/zxing/zxing
159,mixi-inc/JavaScriptTraining,667,9.53,0,https://github.com/mixi-inc/JavaScriptTraining
160,youthlql/JavaYouth,903,2.41,0,https://github.com/youthlql/JavaYouth
161,ronmamo/reflections,4421,9.91,3,https://github.com/ronmamo/reflections
162,zero-to-mastery/javascript20-projects,608,2.72,0,https://github.com/zero-to-mastery/javascript20-projects
163,square/retrofit,41269,12.52,0,https://github.com/square/retrofit
164,microsoft/PowerBI-JavaScript,939,7.46,8,https://github.com/microsoft/PowerBI-JavaScript
165,hellokaton/30-seconds-of-java8,2225,5.12,0,https://github.com/hellokaton/30-seconds-of-java8
166,cloudfoundry/java-buildpack,422,9.86,107,https://github.com/cloudfoundry/java-buildpack
167,auth0/java-jwt,5148,9.02,43,https://github.com/auth0/java-jwt
168,kaushikgopal/RxJava-Android-Samples,7548,8.65,0,https://github.com/kaushikgopal/RxJava-Android-Samples
169,patorjk/JavaScript-Snake,468,10.51,0,https://github.com/patorjk/JavaScript-Snake
170,xbox1994/Java-Interview,3907,4.97,0,https://github.com/xbox1994/Java-Interview
171,bennadel/JavaScript-Demos,730,9.65,0,https://github.com/bennadel/JavaScript-Demos
172,GoogleCloudPlatform/java-docs-samples,1533,7.97,1,https://github.com/GoogleCloudPlatform/java-docs-samples
173,phishman3579/java-algorithms-implementation,4203,9.32,0,https://github.com/phishman3579/java-algorithms-implementation
174,oldmanpushcart/greys-anatomy,3924,10.31,0,https://github.com/oldmanpushcart/greys-anatomy
175,humanwhocodes/computer-science-in-javascript,8767,13.92,0,https://github.com/humanwhocodes/computer-science-in-javascript
176,Jstarfish/JavaKeeper,1583,3.53,0,https://github.com/Jstarfish/JavaKeeper
177,alibaba/p3c,28898,5.73,0,https://github.com/alibaba/p3c
178,happyfish100/fastdfs-client-java,1541,8.27,0,https://github.com/happyfish100/fastdfs-client-java
179,fabric8io/kubernetes-client,2895,7.69,94,https://github.com/fabric8io/kubernetes-client
180,google/android-classyshark,7275,7.43,17,https://github.com/google/android-classyshark
181,sorenduan/awesome-java-books,5680,3.91,0,https://github.com/sorenduan/awesome-java-books
